Facility Name,"1/1/2022
 Adult Dogs
 In Shelter","1/1/2022
 Adult Dogs
 In Foster Care","2022
 Adult Dogs
 Stray","2022
 Adult Dogs
 Owner Relinquished","2022
 Adult Dogs
 Transfer from another Colorado Organization","2022
 Adult Dogs
 Transfer from Out of State","2022
 Adult Dogs
 Other","2022
 Adult Dogs
 Adoption","2022
 Adult Dogs
 Returned to Owner (RTO)","2022
 Adult Dogs
 Transfer to another Colorado Organization","2022
 Adult Dogs
 Transfer to Out of State","2022
 Adult Dogs
 Other","2022
 Adult Dogs
 Deaths","2022
 Adult Dogs
 Euthanasia","2022
 Adult Dogs
 Missing/Stolen","12/31/2022
 Adult Dogs
 In Shelter","12/31/2022
 Adult Dogs
 In Foster Care","1/1/2022
 Juvenile Dogs
 In Shelter","1/1/2022
 Juvenile Dogs
 In Foster Care","2022
 Juvenile Dogs
 Stray","2022
 Juvenile Dogs
 Owner Relinquished","2022
 Juvenile Dogs
 Transfer from another Colorado Organization","2022
 Juvenile Dogs
 Transfer from Out of State","2022
 Juvenile Dogs
 Other","2022
 Juvenile Dogs
 Adoption","2022
 Juvenile Dogs
 Returned to Owner (RTO)","2022
 Juvenile Dogs
 Transfer to another Colorado Organization","2022
 Juvenile Dogs
 Transfer to Out of State","2022
 Juvenile Dogs
 Other","2022
 Juvenile Dogs
 Deaths","2022
 Juvenile Dogs
 Euthanasia","2022
 Juvenile Dogs
 Missing/Stolen","12/31/2022
 Juvenile Dogs
 In Shelter","12/31/2022
 Juvenile Dogs
 In Foster Care","1/1/2022
 Adult Cats
 In Shelter","1/1/2022
 Adult Cats
 In Foster Care","2022
 Adult Cats
 Stray","2022
 Adult Cats
 Owner Relinquished","2022
 Adult Cats
 Transfer from another Colorado Organization","2022
 Adult Cats
 Transfer from Out of State","2022
 Adult Cats
 Other","2022
 Adult Cats
 Adoption","2022
 Adult Cats
 Returned to Owner (RTO)","2022
 Adult Cats
 Transfer to another Colorado Organization","2022
 Adult Cats
 Transfer to Out of State","2022
 Adult Cats
 Other","2022
 Adult Cats
 Deaths","2022
 Adult Cats
 Euthanasia","2022
 Adult Cats
 Missing/Stolen","12/31/2022
 Adult Cats
 In Shelter","12/31/2022
 Adult Cats
 In Foster Care","1/1/2022
 Juvenile Cats
 In Shelter","1/1/2022
 Juvenile Cats
 In Foster Care","2022
 Juvenile Cats
 Stray","2022
 Juvenile Cats
 Owner Relinquished","2022
 Juvenile Cats
 Transfer from another Colorado Organization","2022
 Juvenile Cats
 Transfer from Out of State","2022
 Juvenile Cats
 Other","2022
 Juvenile Cats
 Adoption","2022
 Juvenile Cats
 Returned to Owner (RTO)","2022
 Juvenile Cats
 Transfer to another Colorado Organization","2022
 Juvenile Cats
 Transfer to Out of State","2022
 Juvenile Cats
 Other","2022
 Juvenile Cats
 Deaths","2022
 Juvenile Cats
 Euthanasia","2022
 Juvenile Cats
 Missing/Stolen","12/31/2022
 Juvenile Cats
 In Shelter","12/31/2022
 Juvenile Cats
 In Foster Care","1/1/2022
 Birds
 In Shelter","1/1/2022
 Birds
 In Foster Care","2022
 Birds
 Stray","2022
 Birds
 Owner Relinquished","2022
 Birds
 Transfer from another Colorado Organization","2022
 Birds
 Transfer from Out of State","2022
 Birds
 Other","2022
 Birds
 Adoption","2022
 Birds
 Returned to Owner (RTO)","2022
 Birds
 Transfer to another Colorado Organization","2022
 Birds
 Transfer to Out of State","2022
 Birds
 Other","2022
 Birds
 Deaths","2022
 Birds
 Euthanasia","2022
 Birds
 Missing/Stolen","12/31/2022
 Birds
 In Shelter","12/31/2022
 Birds
 In Foster Care","1/1/2022
 Small Mammals
 In Shelter","1/1/2022
 Small Mammals
 In Foster Care","2022
 Small Mammals
 Stray","2022
 Small Mammals
 Owner Relinquished","2022
 Small Mammals
 Transfer from another Colorado Organization","2022
 Small Mammals
 Transfer from Out of State","2022
 Small Mammals
 Other","2022
 Small Mammals
 Adoption","2022
 Small Mammals
 Returned to Owner (RTO)","2022
 Small Mammals
 Transfer to another Colorado Organization","2022
 Small Mammals
 Transfer to Out of State","2022
 Small Mammals
 Other","2022
 Small Mammals
 Deaths","2022
 Small Mammals
 Euthanasia","2022
 Small Mammals
 Missing/Stolen","12/31/2022
 Small Mammals
 In Shelter","12/31/2022
 Small Mammals
 In Foster Care","1/1/2022
 Reptiles & Amphibians
 In Shelter","1/1/2022
 Reptiles & Amphibians
 In Foster Care","2022
 Reptiles & Amphibians
 Stray","2022
 Reptiles & Amphibians
 Owner Relinquished","2022
 Reptiles & Amphibians
 Transfer from another Colorado Organization","2022
 Reptiles & Amphibians
 Transfer from Out of State","2022
 Reptiles & Amphibians
 Other","2022
 Reptiles & Amphibians
 Adoption","2022
 Reptiles & Amphibians
 Returned to Owner (RTO)","2022
 Reptiles & Amphibians
 Transfer to another Colorado Organization","2022
 Reptiles & Amphibians
 Transfer to Out of State","2022
 Reptiles & Amphibians
 Other","2022
 Reptiles & Amphibians
 Deaths","2022
 Reptiles & Amphibians
 Euthanasia","2022
 Reptiles & Amphibians
 Missing/Stolen","12/31/2022
 Reptiles & Amphibians
 In Shelter","12/31/2022
 Reptiles & Amphibians
 In Foster Care","1/1/2022
 Rabbits
 In Shelter","1/1/2022
 Rabbits
 In Foster Care","2022
 Rabbits
 Stray","2022
 Rabbits
 Owner Relinquished","2022
 Rabbits
 Transfer from another Colorado Organization","2022
 Rabbits
 Transfer from Out of State","2022
 Rabbits
 Other","2022
 Rabbits
 Adoption","2022
 Rabbits
 Returned to Owner (RTO)","2022
 Rabbits
 Transfer to another Colorado Organization","2022
 Rabbits
 Transfer to Out of State","2022
 Rabbits
 Other","2022
 Rabbits
 Deaths","2022
 Rabbits
 Euthanasia","2022
 Rabbits
 Missing/Stolen","12/31/2022
 Rabbits
 In Shelter","12/31/2022
 Rabbits
 In Foster Care","1/1/2022
 Other
 In Shelter","1/1/2022
 Other
 In Foster Care","2022
 Other
 Stray","2022
 Other
 Owner Relinquished","2022
 Other
 Transfer from another Colorado Organization","2022
 Other
 Transfer from Out of State","2022
 Other
 Other","2022
 Other
 Adoption","2022
 Other
 Returned to Owner (RTO)","2022
 Other
 Transfer to another Colorado Organization","2022
 Other
 Transfer to Out of State","2022
 Other
 Other","2022
 Other
 Deaths","2022
 Other
 Euthanasia","2022
 Other
 Missing/Stolen","12/31/2022
 Other
 In Shelter","12/31/2022
 Other
 In Foster Care"
"2 Blondes All Breed Rescue, Inc.",38,65,0,4,7,329,106,426,0,0,1,0,0,3,1,32,86,0,72,0,2,8,441,13,492,0,3,0,0,7,1,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2nd Chance Vizsla Rescue Inc,0,9,0,3,0,0,0,5,0,0,0,0,0,0,0,0,7,0,3,0,0,0,2,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4 Paws 4 Life Rescue,0,14,66,0,59,193,0,317,0,0,3,0,1,3,0,0,8,0,18,0,44,29,346,14,431,0,0,0,0,1,0,0,0,19,0,5,4,0,0,80,0,74,0,0,0,0,0,0,0,0,15,0,7,0,19,0,134,0,133,0,0,0,0,0,1,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7 Paws Rescue Ranch,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9 Lives Rescue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,6,10,0,0,0,30,0,0,0,2,0,0,0,6,13,0,0,3,0,0,0,5,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A cat rescue out in the sticks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,8,0,32,0,33,8,0,0,0,0,0,0,2,0,4,0,6,10,0,0,0,0,10,0,0,4,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,0,0,0,0,0
A Friend of Jack Rescue,0,25,0,0,0,223,0,224,0,0,0,0,1,3,0,0,20,0,37,0,0,0,322,0,333,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Above and Beyond English Setter Rescue,0,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acadiana Animal Aid,30,24,49,116,354,2,0,340,4,178,0,0,0,7,0,22,24,4,15,43,62,492,0,0,333,0,229,0,0,5,2,0,15,32,30,0,25,92,191,0,0,295,2,24,1,0,0,2,1,13,0,5,13,96,75,347,0,0,462,0,26,0,0,4,2,0,30,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adoptable Animal Rescue Force,3,1,0,4,21,1,0,27,0,0,0,0,0,0,0,3,0,0,8,0,0,15,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
