Facility Name,"1/1/2024
 Adult Dogs
 In Shelter","1/1/2024
 Adult Dogs
 In Foster Care","2024
 Adult Dogs
 Stray","2024
 Adult Dogs
 Owner Relinquished","2024
 Adult Dogs
 Transfer from another Colorado Organization","2024
 Adult Dogs
 Transfer from Out of State","2024
 Adult Dogs
 Other","2024
 Adult Dogs
 Adoption","2024
 Adult Dogs
 Returned to Owner (RTO)","2024
 Adult Dogs
 Transfer to another Colorado Organization","2024
 Adult Dogs
 Transfer to Out of State","2024
 Adult Dogs
 Other","2024
 Adult Dogs
 Deaths","2024
 Adult Dogs
 Euthanasia","2024
 Adult Dogs
 Missing/Stolen","12/31/2024
 Adult Dogs
 In Shelter","12/31/2024
 Adult Dogs
 In Foster Care","1/1/2024
 Juvenile Dogs
 In Shelter","1/1/2024
 Juvenile Dogs
 In Foster Care","2024
 Juvenile Dogs
 Stray","2024
 Juvenile Dogs
 Owner Relinquished","2024
 Juvenile Dogs
 Transfer from another Colorado Organization","2024
 Juvenile Dogs
 Transfer from Out of State","2024
 Juvenile Dogs
 Other","2024
 Juvenile Dogs
 Adoption","2024
 Juvenile Dogs
 Returned to Owner (RTO)","2024
 Juvenile Dogs
 Transfer to another Colorado Organization","2024
 Juvenile Dogs
 Transfer to Out of State","2024
 Juvenile Dogs
 Other","2024
 Juvenile Dogs
 Deaths","2024
 Juvenile Dogs
 Euthanasia","2024
 Juvenile Dogs
 Missing/Stolen","12/31/2024
 Juvenile Dogs
 In Shelter","12/31/2024
 Juvenile Dogs
 In Foster Care","1/1/2024
 Adult Cats
 In Shelter","1/1/2024
 Adult Cats
 In Foster Care","2024
 Adult Cats
 Stray","2024
 Adult Cats
 Owner Relinquished","2024
 Adult Cats
 Transfer from another Colorado Organization","2024
 Adult Cats
 Transfer from Out of State","2024
 Adult Cats
 Other","2024
 Adult Cats
 Adoption","2024
 Adult Cats
 Returned to Owner (RTO)","2024
 Adult Cats
 Transfer to another Colorado Organization","2024
 Adult Cats
 Transfer to Out of State","2024
 Adult Cats
 Other","2024
 Adult Cats
 Deaths","2024
 Adult Cats
 Euthanasia","2024
 Adult Cats
 Missing/Stolen","12/31/2024
 Adult Cats
 In Shelter","12/31/2024
 Adult Cats
 In Foster Care","1/1/2024
 Juvenile Cats
 In Shelter","1/1/2024
 Juvenile Cats
 In Foster Care","2024
 Juvenile Cats
 Stray","2024
 Juvenile Cats
 Owner Relinquished","2024
 Juvenile Cats
 Transfer from another Colorado Organization","2024
 Juvenile Cats
 Transfer from Out of State","2024
 Juvenile Cats
 Other","2024
 Juvenile Cats
 Adoption","2024
 Juvenile Cats
 Returned to Owner (RTO)","2024
 Juvenile Cats
 Transfer to another Colorado Organization","2024
 Juvenile Cats
 Transfer to Out of State","2024
 Juvenile Cats
 Other","2024
 Juvenile Cats
 Deaths","2024
 Juvenile Cats
 Euthanasia","2024
 Juvenile Cats
 Missing/Stolen","12/31/2024
 Juvenile Cats
 In Shelter","12/31/2024
 Juvenile Cats
 In Foster Care","1/1/2024
 Birds
 In Shelter","1/1/2024
 Birds
 In Foster Care","2024
 Birds
 Stray","2024
 Birds
 Owner Relinquished","2024
 Birds
 Transfer from another Colorado Organization","2024
 Birds
 Transfer from Out of State","2024
 Birds
 Other","2024
 Birds
 Adoption","2024
 Birds
 Returned to Owner (RTO)","2024
 Birds
 Transfer to another Colorado Organization","2024
 Birds
 Transfer to Out of State","2024
 Birds
 Other","2024
 Birds
 Deaths","2024
 Birds
 Euthanasia","2024
 Birds
 Missing/Stolen","12/31/2024
 Birds
 In Shelter","12/31/2024
 Birds
 In Foster Care","1/1/2024
 Small Mammals
 In Shelter","1/1/2024
 Small Mammals
 In Foster Care","2024
 Small Mammals
 Stray","2024
 Small Mammals
 Owner Relinquished","2024
 Small Mammals
 Transfer from another Colorado Organization","2024
 Small Mammals
 Transfer from Out of State","2024
 Small Mammals
 Other","2024
 Small Mammals
 Adoption","2024
 Small Mammals
 Returned to Owner (RTO)","2024
 Small Mammals
 Transfer to another Colorado Organization","2024
 Small Mammals
 Transfer to Out of State","2024
 Small Mammals
 Other","2024
 Small Mammals
 Deaths","2024
 Small Mammals
 Euthanasia","2024
 Small Mammals
 Missing/Stolen","12/31/2024
 Small Mammals
 In Shelter","12/31/2024
 Small Mammals
 In Foster Care","1/1/2024
 Reptiles & Amphibians
 In Shelter","1/1/2024
 Reptiles & Amphibians
 In Foster Care","2024
 Reptiles & Amphibians
 Stray","2024
 Reptiles & Amphibians
 Owner Relinquished","2024
 Reptiles & Amphibians
 Transfer from another Colorado Organization","2024
 Reptiles & Amphibians
 Transfer from Out of State","2024
 Reptiles & Amphibians
 Other","2024
 Reptiles & Amphibians
 Adoption","2024
 Reptiles & Amphibians
 Returned to Owner (RTO)","2024
 Reptiles & Amphibians
 Transfer to another Colorado Organization","2024
 Reptiles & Amphibians
 Transfer to Out of State","2024
 Reptiles & Amphibians
 Other","2024
 Reptiles & Amphibians
 Deaths","2024
 Reptiles & Amphibians
 Euthanasia","2024
 Reptiles & Amphibians
 Missing/Stolen","12/31/2024
 Reptiles & Amphibians
 In Shelter","12/31/2024
 Reptiles & Amphibians
 In Foster Care","1/1/2024
 Rabbits
 In Shelter","1/1/2024
 Rabbits
 In Foster Care","2024
 Rabbits
 Stray","2024
 Rabbits
 Owner Relinquished","2024
 Rabbits
 Transfer from another Colorado Organization","2024
 Rabbits
 Transfer from Out of State","2024
 Rabbits
 Other","2024
 Rabbits
 Adoption","2024
 Rabbits
 Returned to Owner (RTO)","2024
 Rabbits
 Transfer to another Colorado Organization","2024
 Rabbits
 Transfer to Out of State","2024
 Rabbits
 Other","2024
 Rabbits
 Deaths","2024
 Rabbits
 Euthanasia","2024
 Rabbits
 Missing/Stolen","12/31/2024
 Rabbits
 In Shelter","12/31/2024
 Rabbits
 In Foster Care","1/1/2024
 Other
 In Shelter","1/1/2024
 Other
 In Foster Care","2024
 Other
 Stray","2024
 Other
 Owner Relinquished","2024
 Other
 Transfer from another Colorado Organization","2024
 Other
 Transfer from Out of State","2024
 Other
 Other","2024
 Other
 Adoption","2024
 Other
 Returned to Owner (RTO)","2024
 Other
 Transfer to another Colorado Organization","2024
 Other
 Transfer to Out of State","2024
 Other
 Other","2024
 Other
 Deaths","2024
 Other
 Euthanasia","2024
 Other
 Missing/Stolen","12/31/2024
 Other
 In Shelter","12/31/2024
 Other
 In Foster Care"
"2 Blondes All Breed Rescue, Inc.",33,57,0,8,17,221,20,274,0,0,0,0,0,0,0,29,53,0,62,0,0,0,157,22,225,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4 Paws 4 Life Rescue,7,3,0,15,7,179,0,192,0,2,7,0,0,0,0,3,7,14,3,0,1,54,403,31,485,0,0,0,0,2,3,0,5,11,6,4,0,4,0,43,0,48,0,0,0,0,0,0,0,0,9,3,0,0,1,0,62,8,72,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5280 Reptile Room North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,0,0,0,268,0,16,0,0,25,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5280 Reptile Room West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,16,0,0,154,0,0,0,0,11,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9 Lives Rescue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,23,4,7,6,3,0,36,0,0,0,5,1,1,0,2,2,0,0,23,1,0,8,0,12,0,0,0,0,1,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A cat rescue out in the sticks,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,10,23,1,0,115,4,114,27,0,0,2,0,0,7,0,11,2,4,24,0,0,65,31,27,24,0,0,12,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Friend of Jack Rescue,0,28,0,0,0,143,0,146,0,0,0,0,0,0,0,0,25,0,10,0,0,0,161,0,161,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Above and Beyond English Setter Rescie,0,1,0,0,0,8,0,6,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acadiana Animal Aid,44,49,47,150,420,0,0,567,6,0,44,0,6,17,0,55,15,0,0,31,71,329,0,0,374,0,0,46,0,1,2,0,0,8,42,15,10,81,223,0,0,347,1,0,4,0,1,3,0,15,0,0,0,43,60,415,0,0,450,0,0,0,0,17,2,0,20,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Airedale Terrier Rescue and Adoption (ATRA),0,0,0,4,0,2,0,6,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
