Facility Name,"1/1/2021
 Adult Dogs
 In Shelter","1/1/2021
 Adult Dogs
 In Foster Care","2021
 Adult Dogs
 Stray","2021
 Adult Dogs
 Owner Relinquished","2021
 Adult Dogs
 Transfer from another Colorado Organization","2021
 Adult Dogs
 Transfer from Out of State","2021
 Adult Dogs
 Other","2021
 Adult Dogs
 Adoption","2021
 Adult Dogs
 Returned to Owner (RTO)","2021
 Adult Dogs
 Transfer to another Colorado Organization","2021
 Adult Dogs
 Transfer to Out of State","2021
 Adult Dogs
 Other","2021
 Adult Dogs
 Deaths","2021
 Adult Dogs
 Euthanasia","2021
 Adult Dogs
 Missing/Stolen","12/31/2021
 Adult Dogs
 In Shelter","12/31/2021
 Adult Dogs
 In Foster Care","1/1/2021
 Juvenile Dogs
 In Shelter","1/1/2021
 Juvenile Dogs
 In Foster Care","2021
 Juvenile Dogs
 Stray","2021
 Juvenile Dogs
 Owner Relinquished","2021
 Juvenile Dogs
 Transfer from another Colorado Organization","2021
 Juvenile Dogs
 Transfer from Out of State","2021
 Juvenile Dogs
 Other","2021
 Juvenile Dogs
 Adoption","2021
 Juvenile Dogs
 Returned to Owner (RTO)","2021
 Juvenile Dogs
 Transfer to another Colorado Organization","2021
 Juvenile Dogs
 Transfer to Out of State","2021
 Juvenile Dogs
 Other","2021
 Juvenile Dogs
 Deaths","2021
 Juvenile Dogs
 Euthanasia","2021
 Juvenile Dogs
 Missing/Stolen","12/31/2021
 Juvenile Dogs
 In Shelter","12/31/2021
 Juvenile Dogs
 In Foster Care","1/1/2021
 Adult Cats
 In Shelter","1/1/2021
 Adult Cats
 In Foster Care","2021
 Adult Cats
 Stray","2021
 Adult Cats
 Owner Relinquished","2021
 Adult Cats
 Transfer from another Colorado Organization","2021
 Adult Cats
 Transfer from Out of State","2021
 Adult Cats
 Other","2021
 Adult Cats
 Adoption","2021
 Adult Cats
 Returned to Owner (RTO)","2021
 Adult Cats
 Transfer to another Colorado Organization","2021
 Adult Cats
 Transfer to Out of State","2021
 Adult Cats
 Other","2021
 Adult Cats
 Deaths","2021
 Adult Cats
 Euthanasia","2021
 Adult Cats
 Missing/Stolen","12/31/2021
 Adult Cats
 In Shelter","12/31/2021
 Adult Cats
 In Foster Care","1/1/2021
 Juvenile Cats
 In Shelter","1/1/2021
 Juvenile Cats
 In Foster Care","2021
 Juvenile Cats
 Stray","2021
 Juvenile Cats
 Owner Relinquished","2021
 Juvenile Cats
 Transfer from another Colorado Organization","2021
 Juvenile Cats
 Transfer from Out of State","2021
 Juvenile Cats
 Other","2021
 Juvenile Cats
 Adoption","2021
 Juvenile Cats
 Returned to Owner (RTO)","2021
 Juvenile Cats
 Transfer to another Colorado Organization","2021
 Juvenile Cats
 Transfer to Out of State","2021
 Juvenile Cats
 Other","2021
 Juvenile Cats
 Deaths","2021
 Juvenile Cats
 Euthanasia","2021
 Juvenile Cats
 Missing/Stolen","12/31/2021
 Juvenile Cats
 In Shelter","12/31/2021
 Juvenile Cats
 In Foster Care","1/1/2021
 Birds
 In Shelter","1/1/2021
 Birds
 In Foster Care","2021
 Birds
 Stray","2021
 Birds
 Owner Relinquished","2021
 Birds
 Transfer from another Colorado Organization","2021
 Birds
 Transfer from Out of State","2021
 Birds
 Other","2021
 Birds
 Adoption","2021
 Birds
 Returned to Owner (RTO)","2021
 Birds
 Transfer to another Colorado Organization","2021
 Birds
 Transfer to Out of State","2021
 Birds
 Other","2021
 Birds
 Deaths","2021
 Birds
 Euthanasia","2021
 Birds
 Missing/Stolen","12/31/2021
 Birds
 In Shelter","12/31/2021
 Birds
 In Foster Care","1/1/2021
 Small Mammals
 In Shelter","1/1/2021
 Small Mammals
 In Foster Care","2021
 Small Mammals
 Stray","2021
 Small Mammals
 Owner Relinquished","2021
 Small Mammals
 Transfer from another Colorado Organization","2021
 Small Mammals
 Transfer from Out of State","2021
 Small Mammals
 Other","2021
 Small Mammals
 Adoption","2021
 Small Mammals
 Returned to Owner (RTO)","2021
 Small Mammals
 Transfer to another Colorado Organization","2021
 Small Mammals
 Transfer to Out of State","2021
 Small Mammals
 Other","2021
 Small Mammals
 Deaths","2021
 Small Mammals
 Euthanasia","2021
 Small Mammals
 Missing/Stolen","12/31/2021
 Small Mammals
 In Shelter","12/31/2021
 Small Mammals
 In Foster Care","1/1/2021
 Reptiles & Amphibians
 In Shelter","1/1/2021
 Reptiles & Amphibians
 In Foster Care","2021
 Reptiles & Amphibians
 Stray","2021
 Reptiles & Amphibians
 Owner Relinquished","2021
 Reptiles & Amphibians
 Transfer from another Colorado Organization","2021
 Reptiles & Amphibians
 Transfer from Out of State","2021
 Reptiles & Amphibians
 Other","2021
 Reptiles & Amphibians
 Adoption","2021
 Reptiles & Amphibians
 Returned to Owner (RTO)","2021
 Reptiles & Amphibians
 Transfer to another Colorado Organization","2021
 Reptiles & Amphibians
 Transfer to Out of State","2021
 Reptiles & Amphibians
 Other","2021
 Reptiles & Amphibians
 Deaths","2021
 Reptiles & Amphibians
 Euthanasia","2021
 Reptiles & Amphibians
 Missing/Stolen","12/31/2021
 Reptiles & Amphibians
 In Shelter","12/31/2021
 Reptiles & Amphibians
 In Foster Care","1/1/2021
 Rabbits
 In Shelter","1/1/2021
 Rabbits
 In Foster Care","2021
 Rabbits
 Stray","2021
 Rabbits
 Owner Relinquished","2021
 Rabbits
 Transfer from another Colorado Organization","2021
 Rabbits
 Transfer from Out of State","2021
 Rabbits
 Other","2021
 Rabbits
 Adoption","2021
 Rabbits
 Returned to Owner (RTO)","2021
 Rabbits
 Transfer to another Colorado Organization","2021
 Rabbits
 Transfer to Out of State","2021
 Rabbits
 Other","2021
 Rabbits
 Deaths","2021
 Rabbits
 Euthanasia","2021
 Rabbits
 Missing/Stolen","12/31/2021
 Rabbits
 In Shelter","12/31/2021
 Rabbits
 In Foster Care","1/1/2021
 Other
 In Shelter","1/1/2021
 Other
 In Foster Care","2021
 Other
 Stray","2021
 Other
 Owner Relinquished","2021
 Other
 Transfer from another Colorado Organization","2021
 Other
 Transfer from Out of State","2021
 Other
 Other","2021
 Other
 Adoption","2021
 Other
 Returned to Owner (RTO)","2021
 Other
 Transfer to another Colorado Organization","2021
 Other
 Transfer to Out of State","2021
 Other
 Other","2021
 Other
 Deaths","2021
 Other
 Euthanasia","2021
 Other
 Missing/Stolen","12/31/2021
 Other
 In Shelter","12/31/2021
 Other
 In Foster Care"
"2 Blondes All Breed Rescue, Inc.",26,14,0,5,4,481,72,530,0,0,0,0,4,4,0,38,26,0,62,0,0,0,664,65,700,0,0,0,0,18,1,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2nd Chance Vizsla Rescue, Inc",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4 Paws 4 Life Rescue,91,9,0,10,13,215,0,292,0,1,1,0,1,1,0,34,8,0,0,0,4,5,547,6,547,0,1,0,0,5,0,0,9,0,9,34,1,1,2,19,0,38,0,0,0,0,0,0,0,14,14,0,0,0,2,8,88,0,84,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9 Lives Rescue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,31,5,7,6,8,9,42,0,0,0,5,0,1,0,1,21,0,0,10,9,5,1,0,6,0,0,0,0,4,2,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Cat Rescue Out in the Sticks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,0,9,0,0,11,0,0,0,0,1,0,2,0,6,0,0,10,4,0,6,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Friend of Jack Rescue,0,5,2,0,0,312,0,308,0,0,0,0,0,1,0,0,10,0,15,0,0,0,399,0,392,0,0,0,0,0,7,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acadiana Animal Aid,57,8,73,62,403,2,0,216,2,329,0,0,0,5,1,45,7,1,10,107,60,733,0,0,403,3,481,0,0,2,1,0,2,19,61,5,18,97,225,2,1,281,3,93,0,0,0,2,1,23,6,0,1,72,39,443,0,0,352,0,163,0,0,9,12,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adoptable Animal Rescue Force,8,2,0,14,30,34,0,82,0,1,0,0,0,1,0,3,1,0,6,0,3,19,19,10,48,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Airedale Terrier Rescue and Adoption (ATRA),0,0,0,9,0,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All 4s Rescue League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
